cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
0.048,0.065,0.026,0.001,0.06,0.028,0.045,0.001,0.051,0,0.097,0.073395,-0.046387,0.600281,-0.419312,0.056305,0.914,normal,0.139,0.026,0.16,0.001,0.186,
0.031,0.039,0.063,0.018,0.023,0.025,0.091,0.08,0.047,0,0.218,0.020294,-0.200043,1.25931,-0.200806,0.1297,0.639,normal,0.133,0.063,0.22,0.08,0.284,
36,0.068,0.052,0.059,0.001,0.06,0.025,0.037,0.169,0.031,0,0.237,0.073242,-0.029602,0.436401,-0.417633,0.053406,0.939,stroke,0.179,0.059,0.182,0.169,0.323
33,0.03,0.047,0.036,0.002,0.05,0.033,0.023,0.144,0.034,0,0.201,0.068512,-0.060883,0.72525,-0.334167,0.048523,0.811,stroke,0.113,0.036,0.144,0.144,0.286
23,0.038,0.03,0.13,0.024,0.023,0.05,0.002,0.197,0.032,0,0.231,0.058594,-0.124969,0.832062,-0.13916,0.092926,0.773,stroke,0.198,0.13,0.229,0.197,0.328
30,0.032,0.062,0.124,0.009,0.034,0.026,0.056,0.07,0.047,0,0.173,0.049133,0.001984,0.547333,-0.459747,0.068512,1.007,stroke,0.218,0.124,0.249,0.07,0.242
15,0.041,0.032,0.144,0.016,0.03,0.025,0.035,0.007,0.032,0,0.074,0.063782,-0.036469,0.77713,-0.630493,0.14679,1.077,stroke,0.217,0.144,0.25,0.007,0.145
58,0.04,0.054,0.008,0.001,0.059,0.032,0.2,,0.2,0,0.212,0.119934,-0.060272,1.24435,-0.698547,0.149231,0.722,stroke,0.102,0.008,0.3,,
0.031,0.031,0.102,0.008,0.059,0.041,0.009,0.202,0.031,0,0.242,0.136566,-0.07019,1.42776,-0.375214,0.214996,1.114,normal,0.164,0.102,0.219,0.202,0.35,
0.058,0.058,0.045,0.002,0.06,0.021,0.014,0.174,0.062,0,0.25,0.102539,-0.046081,0.361176,-0.148621,0.146179,0.94,normal,0.161,0.045,0.142,0.174,0.333,
0.033,0.067,0.058,0.009,0.028,0.031,0.112,0.081,0.081,0,0.274,0.067291,-0.042572,1.15585,-0.596466,0.164795,1.071,normal,0.158,0.058,0.238,0.081,0.342,
6,0.032,0.048,0.014,0.001,0.06,0.031,0.199,,0.199,0,0.21,0.100098,-0.069428,1.20789,-0.703888,0.13443,0.734,stroke,0.094,0.014,0.305,,
0.031,0.061,0.053,0.018,0.03,0.038,0.015,0.006,0.193,0,0.214,0.095367,-0.131073,1.16089,-0.258789,0.215454,1.045,normal,0.145,0.053,0.154,0.006,0.3,
27,0.063,0.061,0.048,0.001,0.06,0.034,0.052,0.13,0.042,0,0.224,0.027618,-0.027924,1.06369,-0.359344,0.195618,0.696,stroke,0.172,0.048,0.195,0.13,0.319
3,0.033,0.045,0.04,0.001,0.059,0.025,0.028,0.118,0.082,0,0.228,0.080719,-0.055847,0.419464,-0.231628,0.160675,0.722,stroke,0.118,0.04,0.153,0.118,0.313
37,0.051,0.057,0.046,0.001,0.059,0.026,0.078,0.142,0.031,0,0.251,0.129547,-0.069733,0.713348,-0.360718,0.110321,0.705,stroke,0.154,0.046,0.21,0.142,0.337
22,0.033,0.031,0.086,0.003,0.036,0.034,0.019,0.017,0.199,0,0.235,0.071106,-0.011902,1.34888,-0.32959,0.334778,1.202,stroke,0.15,0.086,0.178,0.017,0.308
0.038,0.049,0.096,0.006,0.034,0.023,0.041,0.194,0.03,0,0.265,0.070496,-0.014496,0.623322,-0.500031,0.081024,1.02,normal,0.183,0.096,0.2,0.194,0.328,
0.044,0.054,0.04,0.001,0.06,0.027,0.054,0.146,0.038,0,0.238,0.107117,-0.03418,0.735321,-0.503235,0.146942,0.896,normal,0.138,0.04,0.182,0.146,0.326,
71,0.044,0.043,0.047,0.017,0.031,0.048,0.109,0.018,0.105,0,0.232,0.080719,-0.133209,1.15692,-0.288239,0.229797,0.81,stroke,0.134,0.047,0.252,0.018,0.328
58,0.033,0.068,0.017,0.001,0.059,0.031,0.106,0.369,0.031,0,0.506,0.115051,0.058746,0.401001,-0.810547,0.330658,0.929,stroke,0.118,0.017,0.214,0.369,0.597
88,0.031,0.052,0.035,0.001,0.059,0.026,0.025,0.172,0.038,0,0.235,0.066071,-0.070343,0.395203,-0.22934,0.144196,0.722,stroke,0.118,0.035,0.146,0.172,0.321
32,0.057,0.071,0.074,0.018,0.029,0.028,0.092,0.042,0.114,0,0.248,0.092773,-0.084991,1.69769,-0.658264,0.322723,1.127,stroke,0.202,0.074,0.241,0.042,0.323
59,0.042,0.036,0.064,0.001,0.06,0.031,0.054,0.153,0.032,0,0.239,0.088196,-0.045929,0.674591,-0.420227,0.105438,0.973,stroke,0.142,0.064,0.21,0.153,0.331
0.05,0.03,0.093,0.017,0.022,0.057,0.027,0.239,0.033,0,0.299,0.03952,-0.094299,0.466919,-0.241241,0.076141,0.928,normal,0.173,0.093,0.216,0.239,0.395,
54,0.031,0.047,0.056,0.001,0.059,0.027,0.135,0.069,0.041,0,0.245,0.063477,-0.009766,1.01395,-0.608826,0.112152,0.992,stroke,0.134,0.056,0.278,0.069,0.332
19,0.03,0.031,0.078,0.001,0.06,0.033,0.109,0.001,0.112,0.076,0.222,0.032501,-0.031281,0.932922,-0.297699,0.156555,0.709,stroke,0.139,0.078,0.281,0.001,0.392
0.033,0.062,0.012,0.031,0.026,0.133,0.001,0.105,0,0.239,0.070801,-0.092163,1.87714,-0.635223,0.202942,0.829,normal,0.138,0.062,0.264,0.001,0.308,,
0.031,0.046,0.077,0.009,0.03,0.027,0.088,0.07,0.09,0,0.248,0.087891,-0.041351,0.869446,-0.387421,0.29068,0.967,normal,0.154,0.077,0.231,0.07,0.314,
49,0.033,0.039,0.15,0.016,0.03,0.025,0.035,0.006,0.032,0,0.073,0.063629,-0.036163,0.769806,-0.620728,0.144348,1.091,stroke,0.222,0.15,0.256,0.006,0.144
0.03,0.03,0.071,0.01,0.033,0.026,0.015,0.252,0.03,0,0.297,0.060577,-0.053101,1.00769,-0.327301,0.124359,1.016,normal,0.131,0.071,0.155,0.252,0.366,
0.042,0.031,0.037,0.007,0.054,0.029,0.045,0.15,0.031,0,0.226,0.110016,-0.075684,0.762939,-0.559845,0.102692,0.792,normal,0.11,0.037,0.172,0.15,0.316,
0.047,0.029,0.001,0.059,0.022,0.046,0.115,0.031,0,0.192,0.075836,-0.061035,0.573883,-0.342407,0.034485,0.722,normal,0.121,0.029,0.157,0.115,0.274,,
0.03,0.057,0.067,0.001,0.06,0.05,0.097,0.037,0.076,0,0.21,0.14679,-0.039673,1.75949,-0.501404,0.246735,0.977,normal,0.154,0.067,0.275,0.037,0.321,
0.03,0.076,0.207,0.008,0.047,0.021,0.025,0.169,0.03,0,0.224,0.475159,-0.040741,0.77179,-0.491638,0.395355,0.585,normal,0.313,0.207,0.308,0.169,0.3,
39,0.031,0.031,0.005,0.001,0.059,0.144,0.026,0.001,0.099,0,0.126,0.099487,-0.076294,0.460663,-0.137482,0.144348,0.987,stroke,0.067,0.005,0.235,0.001,0.33
0.052,0.065,0.066,0.001,0.059,0.03,0.067,0.11,0.05,0,0.227,0.07937,-0.035028,0.742099,-0.287344,0.100068,0.761,normal,0.183,0.066,0.223,0.11,0.317,
